status,META_requiredChecksPassing,GEOM_requiredChecksPassing,META_canonicalNameInMeta,META_licenseImageInZip,META_yearValid,META_isoValid,META_boundaryTypeValid,META_sourceExists,META_releaseTypeValid,META_releaseTypeCorrectFolder,META_licenseValid,META_licenseSourceExists,META_dataSourceExists,GEOM_boundaryNamesColumnExists,GEOM_boundaryNamesFilledIn,GEOM_boundaryISOColumnExists,GEOM_boundaryISOsFilledIn,GEOM_Topology,GEOM_Projection,boundaryID,boundaryISO,boundaryYear,boundaryType,boundarySource_1,boundarySource_2,boundaryCanonical,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,downloadURL
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,BRA-ADM0-dev,BRA,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SOM_ADM0.zip
FAIL,False,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,PSE-ADM1-dev,PSE,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/PSE_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,RWA-ADM3-dev,RWA,2012.0,ADM3,Open Data Rwanda,nan,,Creative Commons Attribution 4.0 International (CC BY 4.0),nan,http//www.statistics.gov.rw/terms-use,http//geodata-nisr.opendata.arcgis.com/datasets/7083c6f446ae41c1bc69649f577f8a68_0,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/RWA_ADM3.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CMR-ADM1-dev,CMR,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CMR_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,SYC-ADM1-dev,SYC,2018.0,ADM1,Digitizedhttps,Digitizedhttps,,Creative Commons Attribution-ShareAlike 3.0 Unported,Shapefile digitized from photo,https//commons.wikimedia.org/wiki/File,https//commons.wikimedia.org/wiki/File,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SYC_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,KEN-ADM1-dev,KEN,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/KEN_ADM1.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,KEN-ADM1-dev,KEN,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/GAB_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,BGD-ADM0-dev,BGD,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/BGD_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,ZAF-ADM0-dev,ZAF,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/ZAF_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PNG-ADM1-dev,PNG,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/PNG_ADM1.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,PNG-ADM1-dev,PNG,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/PRK_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,CZE-ADM2-dev,CZE,2017.0,ADM2,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CZE_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,VUT-ADM1-dev,VUT,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/VUT_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,SWE-ADM2-dev,SWE,2017.0,ADM2,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SWE_ADM2.zip
FAIL,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,SLB-ADM2-dev,SLB,2014.0,ADM2,POPGIS,nan,,Other - Direct Permission,Granted to redistribute in email,https//twitter.com/WMgeoLab/status/1196550630023651328/photo/1,http//prism.spc.int/regional-data-and-tools/popgis2,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SLB_ADM2.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,SLB-ADM2-dev,SLB,2014.0,ADM2,POPGIS,nan,,Other - Direct Permission,Granted to redistribute in email,https//twitter.com/WMgeoLab/status/1196550630023651328/photo/1,http//prism.spc.int/regional-data-and-tools/popgis2,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/ZMB_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PAK-ADM0-dev,PAK,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/PAK_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,COG-ADM2-dev,COG,2007.0,ADM2,"New York University Spatial Data Repository, Stanford University",Map Maker Limited,,Public Domain,License on metadata pop-up on source page,https//geo.nyu.edu/catalog/stanford-hz799nq4536,https//geo.nyu.edu/catalog/stanford-hz799nq4536,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/COG_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,KIR-ADM1-dev,KIR,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/KIR_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,XKX-ADM0-dev,XKX,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/XKX_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,HTI-ADM0-dev,HTI,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/HTI_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,TCD-ADM1-dev,TCD,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/TCD_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,DZA-ADM3-dev,DZA,2017.0,ADM3,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/DZA_ADM3.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,DZA-ADM3-dev,DZA,2017.0,ADM3,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/TZA_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,DOM-ADM0-dev,DOM,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/DOM_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AUT-ADM0-dev,AUT,2017.0,ADM0,"Federal Office for Metrology and Survey, Austria",Derived from ADM4 layer,,Creative Commons Attribution-ShareAlike 2.0,nan,https//www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,https//www.data.gv.at/katalog/dataset/987d6260-1e87-4314-9039-ccae502819b6,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/AUT_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,ETH-ADM3-dev,ETH,2016.0,ADM3,Open Africa,Code for Ethiopia,,Open Data Commons Open Database License 1.0,http//opendefinition.org/licenses/cc-by/,https//africaopendata.org/dataset/ethiopia-shapefiles,https//africaopendata.org/dataset/ethiopia-shapefiles,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/ETH_ADM3.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,SGP-ADM1-dev,SGP,2016.0,ADM1,Urban Redevelopment Authority,derived from ADM 3,,Open Data Commons Open Database License 1.0,Link to license terms of use https,https//data.gov.sg/dataset/master-plan-2014-subzone-boundary-no-sea,https//data.gov.sg/dataset/master-plan-2014-subzone-boundary-no-sea,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SGP_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,SAU-ADM1-dev,SAU,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SAU_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,TUN-ADM0-dev,TUN,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/TUN_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,LKA-ADM0-dev,LKA,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/LKA_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,CMR-ADM3-dev,CMR,2017.0,ADM3,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CMR_ADM3.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,BEN-ADM1-dev,BEN,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/BEN_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,GTM-ADM0-dev,GTM,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/GTM_ADM0.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,GTM-ADM0-dev,GTM,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/LSO_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,BWA-ADM1-dev,BWA,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/BWA_ADM1.zip
FAIL,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,BWA-ADM1-dev,BWA,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SYR_ADM2.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,SOM-ADM1-dev,SOM,2015.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SOM_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,JOR-ADM0-dev,JOR,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/JOR_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,LSO-ADM1-dev,LSO,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/LSO_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,MLT-ADM0-dev,MLT,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/MLT_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,HUN-ADM0-dev,HUN,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/HUN_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CHE-ADM0-dev,CHE,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CHE_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,SUR-ADM1-dev,SUR,2017.0,ADM1,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SUR_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CHL-ADM0-dev,CHL,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CHL_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,SYR-ADM0-dev,SYR,2017.0,ADM0,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SYR_ADM0.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,SVK-ADM3-dev,SVK,2017.0,ADM3,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/SVK_ADM3.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,ITA-ADM0-dev,ITA,2016.0,ADM0,ISTAT,National Institute of Statistics,,Attribuzione 3.0 Italia (CC BY 3.0 IT),nan,https//www.istat.it/it/note-legali,http//www.istat.it/it/archivio/124086,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/ITA_ADM0.zip
PASS,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,CIV-ADM1-dev,CIV,2016,ADM1,https//datacatalog.worldbank.org/dataset/cote-divoire-administrative-boundaries-2016,,districts de CÃ´te dâIvoire,Creative Commons Attribution 4.0 International (CC BY 4.0),,https//datacatalog.worldbank.org/public-licenses#cc-by,https//datacatalog.worldbank.org/dataset/cote-divoire-administrative-boundaries-2016,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/CIV_ADM1.zip
PASS,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,GNB-ADM2-dev,GNB,2017.0,ADM2,OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,https//www.openstreetmap.org/copyright,https//wambachers-osm.website/boundaries/,https://github.com/wmgeolab/gbRelease/raw/master/releaseData/gbOpen/GNB_ADM2.zip
